Period 4 	 [2, 4] 0.24 days. [8] R: 0
Period 4 	 [2, 33, 29, 30] 0.86 days. [1] R: 0
Period 4 	 [2, 33, 49, 102] 0.89 days. [5] R: 0
Period 4 	 [0, 2, 33, 29, 28] 0.99 days. [1] R: 0
Period 4 	 [0, 2, 33, 37, 80] 0.92 days. [1] R: 0
Period 4 	 [1, 2, 33, 37, 36] 0.76 days. [6] R: 0
Period 4 	 [1, 2, 33, 49, 53] 0.99 days. [1] R: 0
Period 4 	 [1, 2, 33, 49, 98] 1.00 days. [6] R: 0
Period 4 	 [3, 2, 4] 0.31 days. [1] R: 0
Period 4 	 [3, 2, 33, 37, 96] 0.85 days. [1] R: 0
Period 4 	 [57, 2, 33, 49, 103] 0.99 days. [5] R: 0
Period 4 	 [6, 33, 12, 11] 0.82 days. [1] R: 0
Period 4 	 [6, 33, 12, 13] 0.78 days. [1] R: 0
Period 4 	 [6, 33, 12, 15] 0.81 days. [3] R: 0
Period 4 	 [6, 33, 29, 30] 0.81 days. [8] R: 0
Period 4 	 [6, 33, 29, 32] 0.84 days. [1] R: 0
Period 4 	 [6, 33, 49, 51] 0.83 days. [1] R: 0
Period 4 	 [5, 6, 33, 12, 72] 1.00 days. [3] R: 0
Period 4 	 [5, 6, 33, 49, 102] 1.11 days. [2] R: 0
Period 4 	 [7, 6, 33, 37, 36] 0.75 days. [1] R: 0
Period 4 	 [7, 6, 33, 37, 40] 0.77 days. [1] R: 0
Period 4 	 [7, 6, 33, 37, 83] 0.75 days. [1] R: 0
Period 4 	 [7, 6, 33, 37, 96] 0.77 days. [1] R: 0
Period 4 	 [9, 6, 33, 19, 73] 0.86 days. [4] R: 0
Period 4 	 [9, 6, 33, 37, 87] 0.74 days. [4] R: 0
Period 4 	 [10, 6, 33, 19, 22] 0.92 days. [1] R: 0
Period 4 	 [10, 6, 33, 29, 32] 0.95 days. [1] R: 0
Period 4 	 [10, 6, 33, 49, 102] 0.95 days. [1] R: 0
Period 4 	 [58, 6, 33, 49, 98] 1.11 days. [1] R: 0
Period 4 	 [60, 6, 64] 0.15 days. [1] R: 0
Period 4 	 [60, 6, 33, 49, 53] 0.94 days. [1] R: 0
Period 4 	 [60, 6, 33, 49, 54] 0.94 days. [1] R: 0
Period 4 	 [66, 6, 63] 0.19 days. [1] R: 0
Period 4 	 [66, 6, 33, 37, 36] 0.75 days. [1] R: 0
Period 4 	 [66, 6, 33, 37, 39] 0.88 days. [2] R: 0
Period 4 	 [66, 6, 33, 37, 87] 0.76 days. [1] R: 0
Period 4 	 [12, 33, 6, 67] 0.74 days. [1] R: 0
Period 4 	 [12, 33, 6, 69] 0.85 days. [5] R: 0
Period 4 	 [12, 33, 37, 83] 0.43 days. [1] R: 0
Period 4 	 [12, 33, 37, 85] 0.43 days. [9] R: 0
Period 4 	 [12, 33, 37, 87] 0.44 days. [1] R: 0
Period 4 	 [12, 33, 49, 44] 0.67 days. [1] R: 0
Period 4 	 [12, 33, 49, 45] 0.82 days. [2] R: 0
Period 4 	 [12, 33, 49, 51] 0.65 days. [1] R: 0
Period 4 	 [12, 33, 49, 102] 0.66 days. [1] R: 0
Period 4 	 [14, 12, 33, 49, 45] 1.05 days. [1] R: 0
Period 4 	 [70, 12, 33, 49, 53] 0.76 days. [1] R: 0
Period 4 	 [19, 33, 2, 4] 0.92 days. [8] R: 0
Period 4 	 [19, 33, 6] 0.72 days. [2] R: 0
Period 4 	 [19, 33, 12, 11] 0.65 days. [1] R: 0
Period 4 	 [19, 33, 49, 103] 0.67 days. [1] R: 0
Period 4 	 [18, 19, 33, 6, 64] 0.86 days. [2] R: 0
Period 4 	 [18, 19, 74] 0.10 days. [6] R: 0
Period 4 	 [18, 19, 33, 49, 51] 0.76 days. [12] R: 0
Period 4 	 [20, 19, 33, 12, 13] 0.80 days. [1] R: 0
Period 4 	 [24, 33, 6, 68] 1.06 days. [2] R: 0
Period 4 	 [24, 33, 12, 71] 0.83 days. [1] R: 0
Period 4 	 [24, 33, 19, 22] 0.92 days. [1] R: 0
Period 4 	 [24, 33, 19, 73] 0.85 days. [1] R: 0
Period 4 	 [24, 33, 19, 74] 0.84 days. [12] R: 0
Period 4 	 [24, 33, 37, 39] 0.85 days. [5] R: 0
Period 4 	 [24, 33, 49, 102] 0.95 days. [1] R: 0
Period 4 	 [23, 24, 33, 12] 0.93 days. [1] R: 0
Period 4 	 [23, 24, 33, 19, 74] 0.94 days. [1] R: 0
Period 4 	 [23, 24, 33, 49, 98] 1.06 days. [3] R: 0
Period 4 	 [75, 24, 33, 19, 74] 0.94 days. [3] R: 0
Period 4 	 [78, 24, 33, 37, 36] 0.87 days. [1] R: 0
Period 4 	 [29, 33, 2, 4] 0.94 days. [1] R: 0
Period 4 	 [29, 33, 37, 82] 0.47 days. [1] R: 0
Period 4 	 [29, 33, 49, 54] 0.68 days. [10] R: 0
Period 4 	 [26, 29, 33, 12, 11] 0.84 days. [1] R: 0
Period 4 	 [26, 29, 33, 12, 15] 0.83 days. [1] R: 0
Period 4 	 [37, 33, 6, 67] 0.63 days. [3] R: 0
Period 4 	 [37, 36] 0.10 days. [1] R: 0
Period 4 	 [33, 12, 11] 0.37 days. [1] R: 0
Period 4 	 [33, 12, 15] 0.37 days. [1] R: 0
Period 4 	 [33, 37, 36] 0.16 days. [6] R: 0
Period 4 	 [34, 37, 33, 6, 8] 0.93 days. [1] R: 0
Period 4 	 [35, 37, 33, 6, 68] 0.80 days. [1] R: 0
Period 4 	 [35, 37, 33, 12, 16] 0.66 days. [1] R: 0
Period 4 	 [35, 37, 82] 0.15 days. [1] R: 0
Period 4 	 [38, 37, 33, 12, 15] 0.71 days. [5] R: 0
Period 4 	 [38, 37, 33, 19, 17] 0.79 days. [1] R: 0
Period 4 	 [79, 37, 33, 6, 69] 0.88 days. [1] R: 0
Period 4 	 [49, 54] 0.10 days. [10] R: 0
Period 4 	 [42, 49, 33, 2, 56] 1.00 days. [1] R: 0
Period 4 	 [42, 49, 33, 19, 22] 0.86 days. [1] R: 0
Period 4 	 [42, 49, 33, 29] 0.80 days. [4] R: 0
Period 4 	 [42, 49, 98] 0.14 days. [2] R: 0
Period 4 	 [48, 49, 33, 37, 80] 0.95 days. [2] R: 0
Period 4 	 [50, 49, 33, 19, 22] 0.85 days. [1] R: 0
Period 4 	 [50, 49, 33, 29] 0.79 days. [1] R: 0
Period 4 	 [50, 49, 33, 37, 85] 0.65 days. [1] R: 0
