Period 13 	 [1, 2] 0.10 days. [20] R: 0
Period 13 	 [1, 2, 33, 6, 66] 1.09 days. [12] R: 0
Period 13 	 [1, 2, 33, 49, 45] 1.15 days. [4] R: 0
Period 13 	 [56, 2, 33] 0.60 days. [1] R: 0
Period 13 	 [6, 33, 12, 70] 0.72 days. [2] R: 0
Period 13 	 [5, 6, 33, 12, 13] 1.06 days. [4] R: 0
Period 13 	 [7, 6, 33, 24] 1.15 days. [14] R: 0
Period 13 	 [7, 6, 33, 29, 31] 1.11 days. [1] R: 0
Period 13 	 [8, 6, 33, 37, 89] 0.98 days. [4] R: 0
Period 13 	 [8, 6, 33, 49] 1.12 days. [6] R: 0
Period 13 	 [9, 6] 0.12 days. [19] R: 0
Period 13 	 [9, 6, 33, 19, 74] 0.85 days. [12] R: 0
Period 13 	 [59, 6, 33, 12] 0.82 days. [3] R: 0
Period 13 	 [60, 6, 33, 29] 0.85 days. [5] R: 0
Period 13 	 [61, 6, 33, 19, 22] 0.94 days. [4] R: 0
Period 13 	 [64, 6, 33, 12, 70] 0.86 days. [7] R: 0
Period 13 	 [69, 6, 33, 12, 13] 1.02 days. [4] R: 0
Period 13 	 [69, 6, 33, 19, 21] 1.06 days. [1] R: 0
Period 13 	 [69, 6, 33, 49, 105] 1.07 days. [3] R: 0
Period 13 	 [14, 12, 33, 37, 79] 0.68 days. [2] R: 0
Period 13 	 [15, 12, 33, 24] 1.02 days. [9] R: 0
Period 13 	 [19, 74] 0.10 days. [8] R: 0
Period 13 	 [17, 19, 22] 0.36 days. [3] R: 0
Period 13 	 [24, 33, 19, 74] 0.84 days. [8] R: 0
Period 13 	 [23, 24, 33, 12, 16] 1.02 days. [1] R: 0
Period 13 	 [25, 24, 33, 6] 1.21 days. [10] R: 0
Period 13 	 [78, 24, 33, 12, 13] 1.04 days. [1] R: 0
Period 13 	 [29, 33, 19, 20] 0.67 days. [1] R: 0
Period 13 	 [30, 29, 33, 2] 0.96 days. [18] R: 0
Period 13 	 [32, 29, 33, 2, 0] 1.01 days. [4] R: 0
Period 13 	 [37, 33, 12, 71] 0.43 days. [12] R: 0
Period 13 	 [37, 33, 49, 48] 0.71 days. [20] R: 0
Period 13 	 [33, 49, 48] 0.55 days. [5] R: 0
Period 13 	 [36, 37, 33, 2, 57] 0.77 days. [3] R: 0
Period 13 	 [36, 37, 33, 6] 0.71 days. [20] R: 0
Period 13 	 [36, 37, 33, 49, 97] 0.66 days. [8] R: 0
Period 13 	 [36, 37, 33, 49, 104] 0.65 days. [1] R: 0
Period 13 	 [38, 37, 33, 12, 11] 0.72 days. [17] R: 0
Period 13 	 [39, 37, 33, 2, 4] 1.03 days. [1] R: 0
Period 13 	 [40, 37, 33, 6, 67] 0.74 days. [1] R: 0
Period 13 	 [82, 37] 0.11 days. [6] R: 0
Period 13 	 [85, 37, 33, 2] 0.76 days. [3] R: 0
Period 13 	 [88, 37, 33, 2] 0.77 days. [1] R: 0
Period 13 	 [50, 49, 33, 24] 1.05 days. [8] R: 0
Period 13 	 [51, 49, 33, 2] 0.98 days. [16] R: 0
Period 13 	 [100, 49, 97] 0.12 days. [1] R: 0
Period 13 	 [101, 49, 33, 24] 1.04 days. [3] R: 0
Period 13 	 [103, 49, 33, 12, 11] 0.86 days. [8] R: 0
Period 14 	 [2, 33, 6, 69] 1.08 days. [8] R: 58
Period 14 	 [2, 33, 24, 25] 1.16 days. [11] R: 58
Period 14 	 [0, 2, 33, 49] 1.01 days. [1] R: 0
Period 14 	 [62, 6, 33, 37, 83] 0.74 days. [1] R: 0
Period 14 	 [12, 33, 49, 42] 0.67 days. [4] R: 3
Period 14 	 [13, 12, 33, 49, 101] 0.82 days. [1] R: 0
Period 14 	 [70, 12, 33, 6, 61] 0.85 days. [1] R: 9
Period 14 	 [70, 12, 33, 37, 82] 0.54 days. [6] R: 9
Period 14 	 [21, 19, 33, 6] 0.93 days. [1] R: 0
Period 14 	 [23, 24, 33, 6] 1.11 days. [4] R: 0
Period 14 	 [29, 33, 37, 88] 0.47 days. [11] R: 5
Period 14 	 [37, 33, 24, 78] 0.77 days. [4] R: 6
Period 14 	 [40, 37, 33, 12, 14] 0.67 days. [1] R: 0
Period 14 	 [45, 49, 33, 24, 75] 1.22 days. [4] R: 0
Period 14 	 [54, 49, 33, 37, 38] 0.73 days. [2] R: 0
Period 14 	 [55, 49, 100] 0.15 days. [1] R: 0
Period 14 	 [99, 49, 33, 24] 1.05 days. [5] R: 0
Period 14 	 [103, 49, 33, 2, 3] 1.05 days. [2] R: 0
Period 15 	 [0, 2, 33, 37, 88] 0.79 days. [1] R: 4
Period 15 	 [26, 29, 33, 2] 0.96 days. [2] R: 0
	 Repartido Periodo 13: 325.000000
	 Repartido Periodo 14: 68.000000
	 Repartido Periodo 15: 3.000000
	 Repartido Periodo 16: 0.000000
Scenario 0
	 Demandas Periodo 13: 52.000000 [0]
	 Demandas Periodo 14: 52.000000 [0]
	 Demandas Periodo 15: 76.000000 [0]
	 Demandas Periodo 16: 100.000000 [0]
Scenario 1
	 Demandas Periodo 13: 121.000000 [0]
	 Demandas Periodo 14: 130.000000 [0]
	 Demandas Periodo 15: 141.000000 [0]
	 Demandas Periodo 16: 166.000000 [0]
Scenario 2
	 Demandas Periodo 13: 120.000000 [0]
	 Demandas Periodo 14: 131.000000 [0]
	 Demandas Periodo 15: 132.000000 [0]
	 Demandas Periodo 16: 162.000000 [0]
ObjVal: 3.000000 Time: 292.905653 GAP: 0.000000
