Period 1 	 [2, 33] 0.50 days. [1] R: 0
Period 1 	 [2, 33, 49, 101] 0.88 days. [1] R: 0
Period 1 	 [3, 2, 33, 6, 69] 1.25 days. [1] R: 0
Period 1 	 [4, 2, 33] 0.74 days. [1] R: 0
Period 1 	 [4, 2, 33, 37, 39] 1.03 days. [1] R: 0
Period 1 	 [4, 2, 33, 49, 100] 1.12 days. [1] R: 0
Period 1 	 [6, 33] 0.45 days. [1] R: 0
Period 1 	 [5, 6, 33, 2, 1] 1.22 days. [1] R: 0
Period 1 	 [5, 6] 0.28 days. [1] R: 0
Period 1 	 [5, 6, 58] 0.44 days. [1] R: 0
Period 1 	 [5, 6, 33, 29, 30] 1.09 days. [1] R: 0
Period 1 	 [7, 6, 33, 2, 1] 1.09 days. [1] R: 0
Period 1 	 [7, 6, 33, 12, 72] 0.87 days. [1] R: 0
Period 1 	 [7, 6, 33, 19, 22] 0.95 days. [1] R: 0
Period 1 	 [7, 6, 33, 29, 30] 0.96 days. [1] R: 0
Period 1 	 [7, 6, 33, 49, 98] 0.99 days. [1] R: 0
Period 1 	 [8, 6, 33, 2, 57] 1.24 days. [1] R: 0
Period 1 	 [8, 6, 33, 19, 17] 1.19 days. [1] R: 0
Period 1 	 [8, 6, 33, 37, 87] 0.90 days. [1] R: 0
Period 1 	 [8, 6, 33, 37, 89] 0.98 days. [1] R: 0
Period 1 	 [8, 6, 33, 49, 45] 1.29 days. [1] R: 0
Period 1 	 [8, 6, 33, 49, 101] 1.12 days. [1] R: 0
Period 1 	 [9, 6, 33, 2, 1] 1.07 days. [1] R: 0
Period 1 	 [9, 6, 33, 37, 41] 0.80 days. [1] R: 0
Period 1 	 [10, 6, 33, 2, 1] 1.06 days. [1] R: 0
Period 1 	 [10, 6, 33, 29] 0.86 days. [1] R: 0
Period 1 	 [10, 6, 33, 29, 30] 0.93 days. [1] R: 0
Period 1 	 [60, 6, 33, 49, 102] 0.94 days. [1] R: 0
Period 1 	 [67, 6, 33, 2, 1] 1.07 days. [1] R: 0
Period 1 	 [67, 6, 33, 2, 57] 1.07 days. [1] R: 0
Period 1 	 [12, 33, 6, 69] 0.85 days. [1] R: 0
Period 1 	 [12, 33, 19, 17] 0.72 days. [1] R: 0
Period 1 	 [12, 33] 0.27 days. [1] R: 0
Period 1 	 [12, 33, 37, 87] 0.44 days. [1] R: 0
Period 1 	 [12, 33, 49, 100] 0.65 days. [1] R: 0
Period 1 	 [11, 12, 16] 0.29 days. [1] R: 0
Period 1 	 [11, 12, 33, 37, 41] 0.70 days. [1] R: 0
Period 1 	 [11, 12, 33, 49, 104] 0.86 days. [1] R: 0
Period 1 	 [13, 12, 33, 6, 61] 0.91 days. [1] R: 0
Period 1 	 [15, 12, 33, 6, 66] 0.96 days. [1] R: 0
Period 1 	 [15, 12, 33, 37, 41] 0.69 days. [1] R: 0
Period 1 	 [70, 12, 33, 24, 78] 0.98 days. [1] R: 0
Period 1 	 [19, 22] 0.18 days. [1] R: 0
Period 1 	 [19, 33, 24] 0.84 days. [1] R: 0
Period 1 	 [19, 33, 29, 26] 0.64 days. [1] R: 0
Period 1 	 [19, 33] 0.28 days. [1] R: 0
Period 1 	 [19, 33, 37, 87] 0.44 days. [1] R: 0
Period 1 	 [19, 33, 49, 97] 0.68 days. [1] R: 0
Period 1 	 [19, 33, 49, 100] 0.66 days. [1] R: 0
Period 1 	 [18, 19, 33, 6, 58] 0.99 days. [1] R: 0
Period 1 	 [18, 19, 33, 6, 61] 0.85 days. [1] R: 0
Period 1 	 [18, 19, 33, 24] 0.94 days. [1] R: 0
Period 1 	 [73, 19, 33, 24, 78] 0.99 days. [1] R: 0
Period 1 	 [74, 19, 33, 6, 69] 0.96 days. [1] R: 0
Period 1 	 [74, 19, 33, 49, 99] 0.77 days. [1] R: 0
Period 1 	 [24, 33, 6, 64] 1.05 days. [1] R: 0
Period 1 	 [24, 33, 29, 26] 0.92 days. [1] R: 0
Period 1 	 [24, 33, 37, 39] 0.85 days. [1] R: 0
Period 1 	 [24, 33, 49, 98] 0.96 days. [1] R: 0
Period 1 	 [23, 24, 33, 12, 72] 0.94 days. [1] R: 0
