Period 10 	 [2, 33] 0.50 days. [16] R: 0
Period 10 	 [0, 2, 33, 49, 52] 1.02 days. [3] R: 0
Period 10 	 [1, 2, 33, 12] 0.87 days. [1] R: 0
Period 10 	 [3, 2, 33, 37, 38] 0.91 days. [19] R: 0
Period 10 	 [5, 6, 33, 12] 0.99 days. [7] R: 0
Period 10 	 [7, 6, 33, 2, 56] 1.09 days. [1] R: 0
Period 10 	 [8, 6, 33, 49, 52] 1.13 days. [20] R: 0
Period 10 	 [60, 6, 33, 12, 13] 0.89 days. [1] R: 0
Period 10 	 [65, 6, 33, 37, 84] 0.76 days. [2] R: 0
Period 10 	 [66, 6, 67] 0.16 days. [10] R: 0
Period 10 	 [12, 33, 37, 38] 0.51 days. [1] R: 0
Period 10 	 [12, 33, 49, 98] 0.67 days. [8] R: 0
Period 10 	 [71, 12, 33, 6] 0.82 days. [3] R: 0
Period 10 	 [19, 33, 6, 64] 0.76 days. [1] R: 0
Period 10 	 [17, 19, 33, 12] 0.82 days. [10] R: 0
Period 10 	 [22, 19, 33, 12, 13] 0.80 days. [3] R: 0
Period 10 	 [22, 19, 33, 29, 28] 0.83 days. [7] R: 0
Period 10 	 [74, 19, 33, 49, 98] 0.78 days. [5] R: 0
Period 10 	 [24, 33, 6, 58] 1.17 days. [4] R: 0
Period 10 	 [24, 33, 37, 34] 0.75 days. [3] R: 0
Period 10 	 [23, 24, 33, 12, 70] 0.93 days. [3] R: 0
Period 10 	 [77, 24, 33, 12] 0.93 days. [3] R: 0
Period 10 	 [29, 33, 6, 67] 0.77 days. [7] R: 0
Period 10 	 [32, 29, 33, 6] 0.94 days. [1] R: 0
Period 10 	 [33, 37, 86] 0.17 days. [1] R: 0
Period 10 	 [80, 37, 33, 2, 4] 1.04 days. [2] R: 0
Period 10 	 [80, 37, 40] 0.26 days. [3] R: 0
Period 10 	 [88, 37, 33, 19, 21] 0.65 days. [1] R: 0
Period 10 	 [89, 37, 33, 49, 52] 0.74 days. [5] R: 0
Period 10 	 [92, 37, 33, 12] 0.62 days. [1] R: 0
Period 10 	 [42, 49, 33, 37, 38] 0.74 days. [20] R: 0
Period 10 	 [42, 49, 52] 0.13 days. [8] R: 0
Period 10 	 [44, 49, 33, 37, 35] 0.70 days. [4] R: 0
Period 10 	 [51, 49] 0.10 days. [14] R: 0
Period 10 	 [53, 49, 55] 0.16 days. [1] R: 0
Period 10 	 [54, 49, 33, 12] 0.75 days. [6] R: 0
Period 10 	 [99, 49, 50] 0.12 days. [1] R: 0
Period 10 	 [102, 49, 33, 2, 56] 0.99 days. [6] R: 0
Period 10 	 [102, 49, 45] 0.28 days. [4] R: 0
Period 10 	 [105, 49, 33, 37, 85] 0.65 days. [3] R: 0
Period 11 	 [6, 33, 49, 50] 0.84 days. [4] R: 4
Period 11 	 [66, 6, 33, 2] 1.09 days. [2] R: 0
Period 11 	 [12, 33, 37, 40] 0.45 days. [20] R: 28
Period 11 	 [12, 33, 49, 50] 0.66 days. [20] R: 28
Period 11 	 [12, 33, 49, 52] 0.66 days. [15] R: 28
Period 11 	 [16, 12, 33, 49, 102] 0.85 days. [1] R: 0
Period 11 	 [70, 12, 33, 49, 50] 0.76 days. [2] R: 3
Period 11 	 [20, 19, 33, 6, 5] 1.09 days. [4] R: 0
Period 11 	 [21, 19, 33, 12, 72] 0.76 days. [1] R: 1
Period 11 	 [22, 19, 33, 24] 1.02 days. [3] R: 0
Period 11 	 [39, 37, 33, 6, 5] 1.02 days. [12] R: 0
Period 11 	 [79, 37, 33, 19, 18] 0.57 days. [1] R: 0
Period 11 	 [83, 37, 33, 6, 59] 0.71 days. [4] R: 0
Period 11 	 [83, 37, 38] 0.19 days. [6] R: 0
Period 11 	 [86, 37, 33, 24, 76] 0.83 days. [1] R: 1
Period 11 	 [87, 37, 33, 49] 0.65 days. [1] R: 0
Period 11 	 [87, 37, 33, 49, 50] 0.66 days. [14] R: 0
Period 11 	 [96, 37, 33, 49, 52] 0.67 days. [4] R: 0
Period 11 	 [49, 50] 0.11 days. [15] R: 14
Period 11 	 [53, 49, 99] 0.11 days. [1] R: 0
Period 11 	 [55, 49, 33, 2, 4] 1.17 days. [2] R: 1
Period 11 	 [97, 49, 33, 2, 4] 1.14 days. [15] R: 0
Period 11 	 [100, 49, 33, 24] 1.04 days. [12] R: 0
Period 12 	 [13, 12] 0.17 days. [1] R: 4
Period 12 	 [40, 37, 33, 29, 30] 0.65 days. [19] R: 23
Period 12 	 [83, 37, 33, 12] 0.53 days. [1] R: 0
Period 12 	 [49, 33, 24, 78] 0.99 days. [4] R: 15
Period 12 	 [99, 49, 52] 0.12 days. [1] R: 1
	 Repartido Periodo 10: 219.000000
	 Repartido Periodo 11: 160.000000
	 Repartido Periodo 12: 26.000000
	 Repartido Periodo 13: 0.000000
Scenario 0
	 Demandas Periodo 10: 14.000000 [0]
	 Demandas Periodo 11: 24.000000 [0]
	 Demandas Periodo 12: 37.000000 [0]
	 Demandas Periodo 13: 52.000000 [0]
Scenario 1
	 Demandas Periodo 10: 117.000000 [0]
	 Demandas Periodo 11: 100.000000 [0]
	 Demandas Periodo 12: 112.000000 [0]
	 Demandas Periodo 13: 121.000000 [0]
Scenario 2
	 Demandas Periodo 10: 112.000000 [0]
	 Demandas Periodo 11: 93.000000 [0]
	 Demandas Periodo 12: 106.000000 [0]
	 Demandas Periodo 13: 120.000000 [0]
ObjVal: 0.000000 Time: 278.500994 GAP: 0.000000
