Period 46 	 [2, 33] 0.50 days. [4] R: 0
Period 46 	 [0, 2, 33, 6, 67] 1.09 days. [1] R: 0
Period 46 	 [0, 2, 33, 49, 105] 1.01 days. [3] R: 0
Period 46 	 [3, 2, 33, 49, 54] 1.05 days. [13] R: 0
Period 46 	 [6, 33, 49, 55] 0.88 days. [2] R: 0
Period 46 	 [7, 6, 33, 49, 103] 0.98 days. [1] R: 0
Period 46 	 [8, 6] 0.29 days. [2] R: 0
Period 46 	 [12, 33, 6, 63] 0.76 days. [1] R: 0
Period 46 	 [12, 33, 49, 104] 0.66 days. [1] R: 0
Period 46 	 [15, 12, 33, 19, 17] 0.92 days. [11] R: 0
Period 46 	 [72, 12, 33, 37, 88] 0.55 days. [11] R: 0
Period 46 	 [72, 12, 33, 49, 46] 0.85 days. [2] R: 0
Period 46 	 [19, 33] 0.28 days. [5] R: 0
Period 46 	 [73, 19, 33, 2, 1] 0.89 days. [1] R: 0
Period 46 	 [74, 19, 33, 12] 0.65 days. [20] R: 0
Period 46 	 [23, 24, 33, 37, 38] 0.91 days. [1] R: 0
Period 46 	 [25, 24, 33, 49, 99] 1.15 days. [7] R: 0
Period 46 	 [75, 24, 33, 2, 57] 1.16 days. [7] R: 0
Period 46 	 [78, 24, 33, 37, 82] 0.88 days. [4] R: 0
Period 46 	 [29, 33, 24] 0.86 days. [6] R: 0
Period 46 	 [26, 29, 33, 6, 10] 0.93 days. [2] R: 0
Period 46 	 [27, 29, 33, 19, 22] 0.83 days. [2] R: 0
Period 46 	 [37, 33, 12] 0.43 days. [2] R: 0
Period 46 	 [33, 2, 1] 0.50 days. [4] R: 0
Period 46 	 [34, 37, 33] 0.29 days. [4] R: 0
Period 46 	 [41, 37, 33, 6] 0.77 days. [2] R: 0
Period 46 	 [79, 37, 33, 12] 0.56 days. [8] R: 0
Period 46 	 [80, 37, 33, 6, 59] 0.85 days. [1] R: 0
Period 46 	 [83, 37, 33, 49, 53] 0.65 days. [11] R: 0
Period 46 	 [49, 33, 6, 9] 0.85 days. [4] R: 0
Period 46 	 [49, 33, 29, 30] 0.75 days. [8] R: 0
Period 46 	 [48, 49, 33, 2, 1] 1.15 days. [1] R: 0
Period 46 	 [48, 49, 33, 12, 71] 0.92 days. [13] R: 0
Period 46 	 [48, 49, 103] 0.28 days. [7] R: 0
Period 46 	 [51, 49, 33, 6, 62] 0.97 days. [1] R: 0
Period 46 	 [51, 49, 33, 6, 66] 0.97 days. [10] R: 0
Period 46 	 [51, 49, 102] 0.11 days. [13] R: 0
Period 46 	 [52, 49, 33, 6, 69] 1.08 days. [4] R: 0
Period 46 	 [98, 49, 33, 6, 66] 0.99 days. [1] R: 0
Period 47 	 [56, 2, 33, 49, 97] 1.00 days. [2] R: 0
Period 47 	 [6, 33, 49, 42] 0.85 days. [7] R: 4
Period 47 	 [9, 6, 33, 37, 38] 0.81 days. [6] R: 4
Period 47 	 [59, 6, 33, 2] 1.05 days. [1] R: 1
Period 47 	 [68, 6, 33, 12] 0.87 days. [1] R: 0
Period 47 	 [69, 6, 58] 0.40 days. [1] R: 0
Period 47 	 [71, 12, 33, 37, 40] 0.55 days. [1] R: 13
Period 47 	 [17, 19, 33, 24] 1.11 days. [1] R: 11
Period 47 	 [75, 24, 33, 6] 1.11 days. [9] R: 0
Period 47 	 [31, 29, 33, 49, 98] 1.02 days. [1] R: 0
Period 47 	 [33, 49, 98] 0.40 days. [12] R: 13
Period 47 	 [35, 37, 33, 49, 52] 0.69 days. [18] R: 0
Period 47 	 [39, 37, 33, 2, 4] 1.03 days. [2] R: 0
Period 47 	 [83, 37, 33, 12] 0.53 days. [1] R: 0
Period 47 	 [87, 37, 84] 0.11 days. [4] R: 0
Period 47 	 [46, 49, 33, 24] 1.13 days. [1] R: 2
Period 47 	 [48, 49, 33, 37, 36] 0.81 days. [3] R: 0
Period 47 	 [103, 49, 33, 24, 25] 1.15 days. [8] R: 8
Period 48 	 [58, 6, 62] 0.30 days. [1] R: 1
Period 48 	 [55, 49, 50] 0.16 days. [1] R: 2
	 Repartido Periodo 46: 201.000000
	 Repartido Periodo 47: 79.000000
	 Repartido Periodo 48: 2.000000
	 Repartido Periodo 49: 0.000000
Scenario 0
	 Demandas Periodo 46: 421.000000 [0]
	 Demandas Periodo 47: 377.000000 [0]
	 Demandas Periodo 48: 349.000000 [0]
	 Demandas Periodo 49: 237.000000 [0]
Scenario 1
	 Demandas Periodo 46: 492.000000 [0]
	 Demandas Periodo 47: 441.000000 [0]
	 Demandas Periodo 48: 428.000000 [0]
	 Demandas Periodo 49: 323.000000 [0]
Scenario 2
	 Demandas Periodo 46: 416.000000 [0]
	 Demandas Periodo 47: 389.000000 [0]
	 Demandas Periodo 48: 371.000000 [0]
	 Demandas Periodo 49: 269.000000 [0]
ObjVal: 2.000000 Time: 263.322676 GAP: 0.000000
