Period 4 	 [2, 33] 0.50 days. [12] R: 0
Period 4 	 [1, 2, 33, 49, 97] 1.00 days. [7] R: 0
Period 4 	 [57, 2, 33] 0.60 days. [1] R: 0
Period 4 	 [6, 33] 0.45 days. [7] R: 0
Period 4 	 [5, 6, 33] 0.72 days. [8] R: 0
Period 4 	 [7, 6, 33] 0.59 days. [10] R: 0
Period 4 	 [8, 6, 33, 37, 96] 0.92 days. [4] R: 0
Period 4 	 [9, 6, 33, 49] 0.95 days. [8] R: 0
Period 4 	 [10, 6, 33, 37, 35] 0.76 days. [4] R: 0
Period 4 	 [60, 6, 33, 49, 55] 0.99 days. [1] R: 0
Period 4 	 [60, 6, 33, 49, 103] 0.94 days. [6] R: 0
Period 4 	 [64, 6, 33, 49, 100] 0.97 days. [1] R: 0
Period 4 	 [66, 6, 33, 49] 0.97 days. [4] R: 0
Period 4 	 [69, 6, 33, 37, 86] 0.85 days. [1] R: 0
Period 4 	 [11, 12, 33, 49, 97] 0.87 days. [2] R: 0
Period 4 	 [14, 12, 33, 37, 89] 0.74 days. [2] R: 0
Period 4 	 [71, 12, 33, 24] 0.93 days. [1] R: 0
Period 4 	 [72, 12, 33, 24] 0.93 days. [2] R: 0
Period 4 	 [72, 12, 33, 49, 103] 0.77 days. [3] R: 0
Period 4 	 [18, 19, 33] 0.38 days. [18] R: 0
Period 4 	 [20, 19, 33] 0.47 days. [3] R: 0
Period 4 	 [74, 19, 33, 24] 0.94 days. [4] R: 0
Period 4 	 [24, 33, 49, 98] 0.96 days. [10] R: 0
Period 4 	 [23, 24] 0.10 days. [8] R: 0
Period 4 	 [25, 24, 33, 37, 35] 0.96 days. [1] R: 0
Period 4 	 [75, 24] 0.10 days. [4] R: 0
Period 4 	 [29, 33, 49] 0.68 days. [16] R: 0
Period 4 	 [30, 29, 33] 0.47 days. [3] R: 0
Period 4 	 [32, 29, 33, 49, 97] 0.89 days. [1] R: 0
Period 4 	 [37, 33, 24] 0.72 days. [8] R: 0
Period 4 	 [33, 24] 0.56 days. [20] R: 0
Period 4 	 [36, 37, 33, 24] 0.82 days. [7] R: 0
Period 4 	 [38, 37, 33, 24] 0.90 days. [7] R: 0
Period 4 	 [40, 37, 33, 24] 0.84 days. [2] R: 0
Period 4 	 [41, 37, 33, 24] 0.89 days. [8] R: 0
Period 4 	 [84, 37, 33, 24] 0.82 days. [1] R: 0
Period 4 	 [87, 37, 33, 24] 0.83 days. [3] R: 0
Period 4 	 [88, 37, 33, 24] 0.83 days. [1] R: 0
Period 4 	 [42, 49] 0.12 days. [6] R: 0
Period 4 	 [48, 49, 33] 0.65 days. [3] R: 0
Period 4 	 [50, 49, 102] 0.12 days. [12] R: 0
Period 4 	 [51, 49, 33] 0.48 days. [6] R: 0
Period 4 	 [52, 49, 33] 0.49 days. [11] R: 0
Period 4 	 [53, 49, 33] 0.49 days. [7] R: 0
Period 4 	 [54, 49, 33] 0.48 days. [4] R: 0
Period 4 	 [99, 49, 33, 6, 65] 0.98 days. [1] R: 0
Period 5 	 [1, 2, 33, 6, 58] 1.21 days. [2] R: 0
Period 5 	 [59, 6, 33, 2, 3] 1.12 days. [3] R: 0
Period 5 	 [11, 12, 33, 29, 30] 0.84 days. [4] R: 0
Period 5 	 [74, 19, 22] 0.19 days. [2] R: 0
Period 5 	 [75, 24, 33, 6, 58] 1.28 days. [1] R: 0
Period 5 	 [28, 29, 33, 19, 22] 0.83 days. [3] R: 0
Period 5 	 [35, 37, 41] 0.21 days. [4] R: 5
Period 5 	 [86, 37, 33, 19, 73] 0.56 days. [1] R: 1
Period 5 	 [49, 33, 12, 14] 0.77 days. [2] R: 34
Period 5 	 [49, 33, 29, 27] 0.75 days. [1] R: 34
Period 5 	 [104, 49, 33, 29, 30] 0.86 days. [1] R: 0
Period 5 	 [105, 49, 33, 2, 0] 1.01 days. [3] R: 0
Period 6 	 [7, 6, 33, 19, 74] 0.87 days. [2] R: 0
Period 6 	 [22, 19, 33, 49] 0.84 days. [2] R: 5
Period 6 	 [73, 19, 33, 49] 0.77 days. [4] R: 1
Period 6 	 [24, 33, 12, 16] 0.92 days. [1] R: 76
Period 6 	 [41, 37, 33, 49, 105] 0.71 days. [5] R: 4
Period 6 	 [89, 37, 33, 24, 75] 0.91 days. [2] R: 2
Period 6 	 [97, 49, 99] 0.12 days. [6] R: 10
Period 6 	 [103, 49, 33, 29, 26] 0.85 days. [1] R: 9
Period 6 	 [103, 49, 104] 0.11 days. [1] R: 9
	 Repartido Periodo 4: 259.000000
	 Repartido Periodo 5: 27.000000
	 Repartido Periodo 6: 24.000000
	 Repartido Periodo 7: 0.000000
Scenario 0
	 Demandas Periodo 4: 0.000000 [0]
	 Demandas Periodo 5: 2.000000 [0]
	 Demandas Periodo 6: 2.000000 [0]
	 Demandas Periodo 7: 2.000000 [0]
Scenario 1
	 Demandas Periodo 4: 122.000000 [0]
	 Demandas Periodo 5: 99.000000 [0]
	 Demandas Periodo 6: 103.000000 [0]
	 Demandas Periodo 7: 115.000000 [0]
Scenario 2
	 Demandas Periodo 4: 117.000000 [0]
	 Demandas Periodo 5: 94.000000 [0]
	 Demandas Periodo 6: 111.000000 [0]
	 Demandas Periodo 7: 98.000000 [0]
ObjVal: 14.000000 Time: 330.056043 GAP: 0.000000
